,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico,soma_fund_publico_dic
1723,3707,3707,5117,2020,MG,VEREADOR,MARCOS DOS SANTOS CABOCLO,130000770717,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,28,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,18262.03,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,92.5,370.0,292.5,570.0,200.0,0.0
1730,3716,3716,5132,2020,RJ,VEREADOR,EDNA BATISTA DA COSTA,190000982337,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SEM INFORMAÇÃO,89808.98,DEFERIDO,DEFERIDO,97.5,97.5,0.0,0.0,96.0,192.0,193.5,289.5,97.5,0.0
1732,3721,3721,5146,2020,MG,VEREADOR,WILKER JUNIOR FERREIRA,130001100612,APTO,DEFERIDO,AVANTE,23,MASCULINO,SUPERIOR INCOMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,41.125,82.25,0.0,0.0,0.0,0.0,41.125,82.25,82.25,0.0
1746,3748,3748,5189,2020,MG,VEREADOR,WIRYS JOSE DOS SANTOS,130001080056,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,35.09,175.45,0.0,0.0,91.92,275.76,127.01,451.21,175.45,0.0
1750,3755,3755,5199,2020,MG,VEREADOR,CRISLAINE MARIA DE ALMEIDA,130001183699,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,100.0,100.0,0.0,0.0,300.0,300.0,400.0,400.0,100.0,0.0
1752,3760,3760,5205,2020,PA,VEREADOR,GIZELE BRITO DE SOUSA,140001226770,APTO,DEFERIDO,PARTIDO LIBERAL,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,320.0,320.0,0.0,0.0,0.0,0.0,320.0,320.0,320.0,0.0
1754,3765,3765,5210,2020,PE,VEREADOR,ANTONIO FÉLIX RIBEIRO DE SOUSA,170001188284,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,20,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,90.0,90.0,0.0,0.0,1200.0,2400.0,1290.0,2490.0,90.0,0.0
1771,3796,3796,5250,2020,MG,VEREADOR,WALLACE JUNIO RIBEIRO ANDRADE,130001102355,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,22,MASCULINO,SUPERIOR COMPLETO,PARDA,125586.56,DEFERIDO,DEFERIDO,0.0,0.0,54.0,54.0,239.75,2877.0,293.75,2931.0,54.0,0.0
1772,3797,3797,5251,2020,SP,VEREADOR,KAIQUE RICARDO DE ALMEIDA MATOS,250000812025,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,60.0,60.0,0.0,0.0,110.0,220.0,170.0,280.0,60.0,0.0
1789,3839,3839,5308,2020,RJ,VEREADOR,PATRINE FERREIRA FARIA,190000873501,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,25,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,122565.82,DEFERIDO,DEFERIDO,71.0666666666667,213.2,0.0,0.0,0.0,0.0,71.0666666666667,213.2,213.2,0.0
1790,3841,3841,5310,2020,GO,VEREADOR,RODRIGO NOVAES PINTO,90001249391,APTO,DEFERIDO,PODEMOS,25,MASCULINO,LÊ E ESCREVE,BRANCA,34527.78,DEFERIDO,DEFERIDO,61.0,244.0,0.0,0.0,0.0,0.0,61.0,244.0,244.0,0.0
1793,3851,3851,5325,2020,RS,VEREADOR,RAFAEL SCHONARDIE SCHMIDT,210001188351,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,19716.5,DEFERIDO,DEFERIDO,101.75,203.5,0.0,0.0,388.25888888888886,3494.33,490.00888888888886,3697.83,203.5,0.0
1794,3854,3854,5328,2020,BA,VEREADOR,GABRIELLE LARISSA DA SILVA LUCAS,50001132073,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,21,FEMININO,SUPERIOR INCOMPLETO,PARDA,69332.88,DEFERIDO,DEFERIDO,70.0,210.0,0.0,0.0,0.0,0.0,70.0,210.0,210.0,0.0
1799,3869,3869,5351,2020,MG,VEREADOR,LUÍS ANTONIO FAUSTINO,130001038743,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,27,MASCULINO,SUPERIOR COMPLETO,SEM INFORMAÇÃO,12307.75,DEFERIDO,DEFERIDO,110.98,110.98,0.0,0.0,142.3375,569.35,253.3175,680.33,110.98,0.0
1801,3878,3878,5366,2020,MG,VEREADOR,BRUNA LETICIA DOS SANTOS,130001090257,APTO,DEFERIDO,PARTIDO VERDE,24,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,19690.01,DEFERIDO,DEFERIDO,142.39,284.78,0.0,0.0,0.0,0.0,142.39,284.78,284.78,0.0
1802,3880,3880,5374,2020,PA,VEREADOR,AUGUSTO RENATO ROSA CALDAS,140001073446,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,39638.66,DEFERIDO,DEFERIDO,43.0,43.0,0.0,0.0,496.666666666667,1490.0,539.666666666667,1533.0,43.0,0.0
1803,3882,3882,5376,2020,ES,VEREADOR,RAYANE RAMOS BERTOLDO,80001062973,APTO,DEFERIDO,REPUBLICANOS,27,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,152177.96,DEFERIDO,DEFERIDO,90.0,90.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,0.0
1804,3885,3885,5380,2020,MG,VEREADOR,ALAN VINICIUS DE ARAÚJO PIRES DE LIMA,130000656355,APTO,DEFERIDO,SOLIDARIEDADE,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,24248.05,DEFERIDO,DEFERIDO,55.0,55.0,0.0,0.0,61.6925,246.77,116.6925,301.77,55.0,0.0
1806,3891,3891,5389,2020,RS,VEREADOR,TAINARA APARECIDA NUNES,210000859401,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,210.0,210.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,0.0
1814,3917,3917,5434,2020,SP,VEREADOR,VINICIUS DE AVELAR SILVA,250001249458,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,26,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,20935.08,DEFERIDO,DEFERIDO,136.99,136.99,0.0,0.0,0.0,0.0,136.99,136.99,136.99,0.0
1817,3926,3926,5455,2020,RS,VEREADOR,ADILIO MULINETTI,210000898460,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,163.0,163.0,0.0,0.0,900.0,900.0,1063.0,1063.0,163.0,0.0
1823,3934,3934,5466,2020,RN,VEREADOR,LEONARDO SALES DE SOUZA,200000852564,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,SUPERIOR INCOMPLETO,PARDA,19766.82,DEFERIDO,DEFERIDO,80.0,80.0,0.0,0.0,953.25,3813.0,1033.25,3893.0,80.0,0.0
1827,3940,3940,5473,2020,MG,VEREADOR,ANA PAULA OLIVEIRA,130000822632,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,50.0,50.0,0.0,0.0,325.0,325.0,375.0,375.0,50.0,0.0
1835,3953,3953,5490,2020,RS,VEREADOR,FABIANO DIOGO LOPES RAMOS,210000804958,APTO,DEFERIDO,REPUBLICANOS,24,MASCULINO,SUPERIOR INCOMPLETO,PARDA,39108.15,DEFERIDO,DEFERIDO,43.7233333333333,131.17,0.0,0.0,141.13,282.26,184.853333333333,413.43,131.17,0.0
1844,3975,3975,5516,2020,BA,VEREADOR,MICAEL WESLEI BARBOSA ALVES,50001047530,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,22,MASCULINO,SUPERIOR COMPLETO,PARDA,39419.57,DEFERIDO,DEFERIDO,158.0,158.0,0.0,0.0,80.225,160.45,238.225,318.45,158.0,0.0
1846,3977,3977,5520,2020,MG,VEREADOR,RAFHAELA DE PADUA NUNES,130001154461,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,34.285,68.57,0.0,0.0,368.958,5534.37,403.24300000000005,5602.94,68.57,0.0
1855,3993,3993,5540,2020,MG,VEREADOR,LUCAS ROGEL GOUVEA NOGUEIRA,130001180947,APTO,DEFERIDO,REPUBLICANOS,29,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,28.0,28.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0
1856,3994,3994,5541,2020,MG,VEREADOR,ATANASIO DE PAULA SILVA,130001139409,APTO,DEFERIDO,REPUBLICANOS,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,73.0,73.0,0.0,0.0,73.0,73.0,73.0,0.0
1861,4001,4001,5551,2020,ES,VEREADOR,PABLO BIRCHLER MIGUEL,80001129421,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,21125.62,DEFERIDO,DEFERIDO,96.25,288.75,0.0,0.0,0.0,0.0,96.25,288.75,288.75,0.0
1863,4007,4007,5559,2020,MG,VEREADOR,ALINE DE MOURA LOPES JACINTO,130000682190,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,FEMININO,LÊ E ESCREVE,PARDA,12307.75,DEFERIDO,DEFERIDO,61.95,61.95,0.0,0.0,64.42,64.42,126.37,126.37,61.95,0.0
1867,4013,4013,5568,2020,ES,VEREADOR,RAFAEL SILVEIRA MOTA,80000952184,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,88972.6,DEFERIDO,DEFERIDO,24.5,49.0,0.0,0.0,193.7,581.1,218.2,630.1,49.0,0.0
1868,4014,4014,5569,2020,RS,VEREADOR,JOSUE DE OLIVEIRA,210000816462,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,25,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,140.0,140.0,52.2,52.2,341.5,1024.5,533.7,1216.7,192.2,0.0
1869,4018,4018,5573,2020,SP,VEREADOR,FELIPE OTAVIO MARTINS,250000832576,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,28,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,163049.65,DEFERIDO,DEFERIDO,0.0,0.0,107.5,215.0,118.696666666667,356.09,226.19666666666697,571.09,215.0,0.0
1870,4019,4019,5574,2020,GO,VEREADOR,ARIELLE FERNANDES SILVA,90000923684,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,29,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,103.0,206.0,0.0,0.0,16.525,66.1,119.525,272.1,206.0,0.0
1874,4026,4026,5581,2020,MT,VEREADOR,NATALIA PEPPE DOS SANTOS,110000637208,APTO,DEFERIDO,PROGRESSISTAS,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,87.3333333333333,262.0,0.0,0.0,0.0,0.0,87.3333333333333,262.0,262.0,0.0
1877,4032,4032,5590,2020,SP,VEREADOR,RENATA APARECIDA PINHEIRO SOLIDADE,250000741928,APTO,DEFERIDO,CIDADANIA,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,105.0,210.0,0.0,0.0,0.0,0.0,105.0,210.0,210.0,0.0
1880,4038,4038,5600,2020,SP,VEREADOR,DOUGLAS HENRIQUE ALVES PEREIRA,250001086740,APTO,DEFERIDO,DEMOCRATAS,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,132.175,264.35,250.0,500.0,382.175,764.35,264.35,0.0
1882,4041,4041,5603,2020,MG,VEREADOR,WEBER FERREIRA DOS SANTOS,130000996108,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,98299.98,DEFERIDO,DEFERIDO,143.0,286.0,0.0,0.0,0.0,0.0,143.0,286.0,286.0,0.0
1884,4044,4044,5606,2020,MG,VEREADOR,JOSÉ LUIZ MOREIRA JÚNIOR,130000999686,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,23,MASCULINO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,125.0,250.0,0.0,0.0,350.0,700.0,475.0,950.0,250.0,0.0
1889,4053,4053,5616,2020,GO,VEREADOR,CARLOS AUGUSTO DOS SANTOS PEREIRA,90001082247,APTO,DEFERIDO,SOLIDARIEDADE,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,46630.63,DEFERIDO,DEFERIDO,78.2733333333333,234.82,0.0,0.0,1585.332,7926.66,1663.60533333333,8161.48,234.82,0.0
1895,4062,4062,5628,2020,PR,VEREADOR,BEATRIZ ISABEL CASTELINI PORTES,160001055716,APTO,DEFERIDO,PROGRESSISTAS,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,150.0,300.0,94.7333333333333,284.2,244.733333333333,584.2,300.0,0.0
1900,4071,4071,5639,2020,RJ,VEREADOR,MARIA CAROLINA DE PAULA SALGADO,190000786493,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,23,FEMININO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,198192.1,DEFERIDO,DEFERIDO,64.3333333333333,193.0,0.0,0.0,82.1875,328.75,146.520833333333,521.75,193.0,0.0
1908,4089,4089,5659,2020,RN,VEREADOR,CASSIA LORENA DA SILVA,200000645592,APTO,DEFERIDO,PROGRESSISTAS,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,21492.47,DEFERIDO,DEFERIDO,78.0,78.0,0.0,0.0,0.0,0.0,78.0,78.0,78.0,0.0
1913,4096,4096,5666,2020,CE,VEREADOR,ANNE VILENE MACHADO NOBRE DE VASCONCELOS,60000948612,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,28,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,110.0,110.0,2333.3333333333303,7000.0,2443.3333333333303,7110.0,110.0,0.0
1917,4104,4104,5677,2020,RS,VEREADOR,KAREN MEDEIROS,210000820772,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,26508.63,DEFERIDO,DEFERIDO,0.0,0.0,240.0,240.0,0.0,0.0,240.0,240.0,240.0,0.0
1922,4116,4116,5692,2020,SP,VEREADOR,JOÃO VITOR DA SILVA BASTOS,250001016673,APTO,DEFERIDO,AVANTE,24,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,187834.86,DEFERIDO,DEFERIDO,89.0,89.0,0.0,0.0,142.86,142.86,231.86,231.86,89.0,0.0
1927,4122,4122,5703,2020,RJ,VEREADOR,VALDILÉA SANTOS ARAUJO,190000745339,APTO,DEFERIDO,CIDADANIA,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,74.0,148.0,46.75,93.5,751.5,1503.0,872.25,1744.5,241.5,0.0
1928,4123,4123,5704,2020,SP,VEREADOR,VINICIUS DIAS SUDAHIA ZANELATO,250001097537,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,48347.44,DEFERIDO,DEFERIDO,22.105,44.21,0.0,0.0,108.508,542.54,130.613,586.75,44.21,0.0
1933,4129,4129,5713,2020,RS,VEREADOR,SANDRINI NOGUEIRA DA SILVA,210000844321,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,23227.07,DEFERIDO,DEFERIDO,66.39,132.78,121.8,121.8,252.49599999999998,1262.48,440.686,1517.06,254.58,0.0
1939,4147,4147,5744,2020,MG,VEREADOR,RAMON VILELA DA SILVA,130001067174,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20,MASCULINO,SUPERIOR INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,146.625,293.25,0.0,0.0,140.333333333333,842.0,286.95833333333303,1135.25,293.25,0.0
1942,4152,4152,5751,2020,MG,VEREADOR,MATHEUS HENRIQUE RIBEIRO BENEDITO,130000850691,APTO,DEFERIDO,PROGRESSISTAS,21,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,69.5466666666667,208.64,0.0,0.0,120.0,120.0,189.546666666667,328.64,208.64,0.0
1945,4156,4156,5755,2020,TO,VEREADOR,BRUNO RIBEIRO OLIVEIRA AMORIM,270001148933,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,110.666666666667,332.0,0.0,0.0,215.0,215.0,325.66666666666697,547.0,332.0,0.0
1948,4159,4159,5759,2020,AM,VEREADOR,NAIANE ALFAIA DE OLIVEIRA,40001194152,APTO,DEFERIDO,PODEMOS,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,22079.85,DEFERIDO,DEFERIDO,0.0,0.0,123.6,123.6,0.0,0.0,123.6,123.6,123.6,0.0
1961,4185,4185,5798,2020,SE,VEREADOR,JONATHA COSTA DOS SANTOS ALVES,260000892849,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,25,MASCULINO,SUPERIOR COMPLETO,PARDA,19083.61,DEFERIDO,DEFERIDO,130.0,130.0,0.0,0.0,345.0,690.0,475.0,820.0,130.0,0.0
1965,4192,4192,5811,2020,SC,VEREADOR,MIRIÃ GOMES DOS SANTOS NETTO,240000998575,APTO,DEFERIDO,PARTIDO LIBERAL,23,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,120.0,240.0,0.0,0.0,395.357142857143,2767.5,515.357142857143,3007.5,240.0,0.0
1971,4206,4206,5832,2020,RS,VEREADOR,CASSIO ILTON GUEDES DE SOUZA,210000886708,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,120.0,120.0,1533.33333333333,4600.0,1653.33333333333,4720.0,120.0,0.0
1973,4208,4208,5834,2020,MS,VEREADOR,ALEXIA NOGUEIRA KOSINSKI,120001035946,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,160.0,160.0,0.0,0.0,821.666666666667,4930.0,981.666666666667,5090.0,160.0,0.0
1976,4214,4214,5850,2020,SP,VEREADOR,BARBARA FERNANDA LUCHIARI VASSOLER,250001023349,APTO,DEFERIDO,AVANTE,23,FEMININO,SUPERIOR INCOMPLETO,BRANCA,27390.93,DEFERIDO,DEFERIDO,215.0,215.0,0.0,0.0,160.0,800.0,375.0,1015.0,215.0,0.0
1980,4218,4218,5856,2020,PB,VEREADOR,DAIZE LIMA MARQUES DO NASCIMENTO,150000838004,APTO,DEFERIDO,CIDADANIA,27,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SEM INFORMAÇÃO,12307.75,DEFERIDO,DEFERIDO,100.0,100.0,0.0,0.0,250.0,250.0,350.0,350.0,100.0,0.0
1984,4224,4224,5870,2020,MG,VEREADOR,SIMONE OLIVEIRA FELISBINO DE SOUZA,130000979492,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,195.0,195.0,0.0,0.0,90.675,181.35,285.675,376.35,195.0,0.0
1994,4241,4241,5897,2020,BA,VEREADOR,RODRIGO NUNES SANTOS,50001083765,APTO,DEFERIDO,PARTIDO LIBERAL,22,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,26473.47,DEFERIDO,DEFERIDO,88.54,265.62,0.0,0.0,0.0,0.0,88.54,265.62,265.62,0.0
1997,4257,4257,5924,2020,MG,VEREADOR,MATHEUS RIBEIRO VARGAS,130000818167,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,74.1,222.3,0.0,0.0,74.425,148.85,148.525,371.15,222.3,0.0
1999,4259,4259,5928,2020,GO,VEREADOR,TALITA LOPES MIRANDA,90000894565,APTO,DEFERIDO,PARTIDO LIBERAL,24,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,58864.25,DEFERIDO,DEFERIDO,150.0,150.0,100.0,200.0,475.2783333333329,5703.34,725.278333333333,6053.34,350.0,0.0
2000,4260,4260,5929,2020,PR,VEREADOR,DANILO CAMILO SABINO,160000885623,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,23,MASCULINO,SUPERIOR COMPLETO,PRETA,20407.96,DEFERIDO,DEFERIDO,45.5,45.5,0.0,0.0,206.725,826.9,252.225,872.4,45.5,0.0
2007,4281,4281,5957,2020,SE,VEREADOR,JONATAN FRANCIS LIMA DOS SANTOS,260000957648,APTO,DEFERIDO,CIDADANIA,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,17109.22,DEFERIDO,DEFERIDO,60.0,120.0,0.0,0.0,250.0,250.0,310.0,370.0,120.0,0.0
2015,4297,4297,5976,2020,SC,VEREADOR,IGOR FELIPE POYER,240001151273,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,64.1766666666667,192.53,0.0,0.0,1053.24875,8425.99,1117.42541666667,8618.52,192.53,0.0
2018,4307,4307,5989,2020,PR,VEREADOR,CRISTIAN FAGNER DOMINGOS,160001063819,APTO,DEFERIDO,PARTIDO LIBERAL,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,27568.88,DEFERIDO,DEFERIDO,51.875,207.5,0.0,0.0,350.0,1400.0,401.875,1607.5,207.5,0.0
2022,4315,4315,5997,2020,MG,VEREADOR,ANDRESSA PEREIRA CANDIDO,130001064894,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,28,FEMININO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,12307.75,DEFERIDO,DEFERIDO,45.0,45.0,0.0,0.0,240.666666666667,722.0,285.66666666666697,767.0,45.0,0.0
2031,4341,4341,6033,2020,SP,VEREADOR,BEATRIZ GOMES DE SOUZA,250001020704,APTO,DEFERIDO,PROGRESSISTAS,22,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,39.025,78.05,0.0,0.0,0.0,0.0,39.025,78.05,78.05,0.0
2033,4343,4343,6035,2020,PA,VEREADOR,MIDIÃ FERREIRA BLUHM,140000781893,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,115386.04,DEFERIDO,DEFERIDO,85.0,85.0,0.0,0.0,305.695,1834.17,390.695,1919.17,85.0,0.0
2034,4346,4346,6039,2020,SE,VEREADOR,MAIKO ANTONIO LOPES DOS SANTOS,260001059085,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,28,MASCULINO,SUPERIOR COMPLETO,PARDA,29929.3,DEFERIDO,DEFERIDO,128.34,128.34,0.0,0.0,626.5,2506.0,754.84,2634.34,128.34,0.0
2037,4351,4351,6046,2020,MG,VEREADOR,RENATA FRANCISCO DA SILVA TAVARES,130000785479,APTO,DEFERIDO,DEMOCRATAS,26,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,70.0,140.0,0.0,0.0,159.78,159.78,229.78,299.78,140.0,0.0
2039,4353,4353,6049,2020,PB,VEREADOR,TAMYRES MEDEIROS DE ANDRADE,150000910115,APTO,DEFERIDO,CIDADANIA,25,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,70.0,70.0,0.0,0.0,550.0,1100.0,620.0,1170.0,70.0,0.0
2042,4357,4357,6056,2020,MG,VEREADOR,WAGNER JOSE OLIVEIRA SANTOS,130000773377,APTO,DEFERIDO,PROGRESSISTAS,23,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,65.0,65.0,0.0,0.0,95.0,285.0,160.0,350.0,65.0,0.0
2047,4366,4366,6075,2020,SP,VEREADOR,ANA GABRIELA DE ANDRADE,250000844437,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,29,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,30733.99,DEFERIDO,DEFERIDO,0.0,0.0,189.0,189.0,0.0,0.0,189.0,189.0,189.0,0.0
2050,4373,4373,6082,2020,GO,VEREADOR,GABRIEL DE ALMEIDA SILVA,90001027851,APTO,DEFERIDO,REPUBLICANOS,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,150.0,150.0,0.0,0.0,416.66,416.66,566.66,566.66,150.0,0.0
2052,4377,4377,6088,2020,PB,VEREADOR,PATRICIA SIMONE MEDEIROS,150001147852,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,19927.56,DEFERIDO,DEFERIDO,70.0,70.0,0.0,0.0,820.0,2460.0,890.0,2530.0,70.0,0.0
