,Unnamed: 0,Unnamed: 0.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico
8424,8424,11741,2020,GO,VEREADOR,DIEGO XAVIER PRATES,90000916047,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,591983.46,DEFERIDO,DEFERIDO,208.955,1671.64,30.21,30.21,0.0,0.0,239.165,1701.85,1701.8500000000001
8425,8425,11742,2020,CE,VEREADOR,JOSÉ HONORATO BATISTA NETA,60000785380,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,27,FEMININO,SUPERIOR INCOMPLETO,NEGRA,524050.7,DEFERIDO,DEFERIDO,2799.705,5599.41,0.0,0.0,0.0,0.0,2799.705,5599.41,5599.41
8428,8428,11747,2020,CE,VEREADOR,PAULO HENRIQUE DE SOUSA MAIA,60000632332,APTO,DEFERIDO,PODEMOS,25,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,580.11,580.11,0.0,0.0,456.0,912.0,1036.11,1492.11,580.11
8430,8430,11749,2020,GO,VEREADOR,GEOVANE FERREIRA PASSOS,90000779968,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,27,MASCULINO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,719.56,719.56,245.0,1225.0,964.56,1944.56,719.56
8431,8431,11750,2020,SP,VEREADOR,VAGNER ELIAS DA CRUZ,250000838854,APTO,DEFERIDO,PODEMOS,27,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,103.985,207.97,0.0,0.0,40.0,40.0,143.985,247.97,207.97
8432,8432,11751,2020,PA,VEREADOR,WALESON DE MORAES FERREIRA,140001070870,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,49644.56,DEFERIDO,DEFERIDO,1500.0,3000.0,0.0,0.0,0.0,0.0,1500.0,3000.0,3000.0
8436,8436,11755,2020,RO,VEREADOR,LUCAS SANTANA FIUZA,220001062534,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,25,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,354.88,1419.52,0.0,0.0,2500.0,2500.0,2854.88,3919.52,1419.52
8437,8437,11756,2020,SE,VEREADOR,PAULO RICARDO DE OLIVEIRA ALVES,260000657575,APTO,DEFERIDO,CIDADANIA,18,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,150.0,150.0,0.0,0.0,236.333333333333,709.0,386.333333333333,859.0,150.0
8438,8438,11757,2020,RR,VEREADOR,RAY KLEBER GOMES SILVA DA SILVA,230000837374,APTO,DEFERIDO,REDE SUSTENTABILIDADE,28,MASCULINO,SUPERIOR COMPLETO,NEGRA,391772.1,DEFERIDO,DEFERIDO,12840.0,64200.0,840.0,840.0,0.0,0.0,13680.0,65040.0,65040.0
8441,8441,11760,2020,RN,VEREADOR,FRANCISCO ESTEFESON FELIPE DE MOURA,200000836573,APTO,DEFERIDO,SOLIDARIEDADE,29,MASCULINO,SUPERIOR INCOMPLETO,NEGRA,210013.89,DEFERIDO,DEFERIDO,300.0,300.0,0.0,0.0,856.275,6850.2,1156.275,7150.2,300.0
8442,8442,11761,2020,RJ,VEREADOR,LEONARDO RIBEIRO OLIVEIRA GOMES,190001120380,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,27,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,319311.17,DEFERIDO,DEFERIDO,375.25,2251.5,0.0,0.0,0.0,0.0,375.25,2251.5,2251.5
8443,8443,11762,2020,RN,VEREADOR,JESSICA RIBEIRO FLOR,200000847467,APTO,DEFERIDO,PROGRESSISTAS,29,FEMININO,LÊ E ESCREVE,BRANCA,12307.75,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
8444,8444,11763,2020,MG,VEREADOR,LEANDRO SEBASTIÃO MARCOS FERREIRA,130001032280,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,166.0,166.0,0.0,0.0,175.5,702.0,341.5,868.0,166.0
8446,8446,11766,2020,BA,VEREADOR,JAIR ANDERSON BRAZ SANTOS,50000787666,APTO,DEFERIDO,SOLIDARIEDADE,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,7000.0,7000.0,0.0,0.0,0.0,0.0,7000.0,7000.0,7000.0
8452,8452,11774,2020,GO,VEREADOR,MARIA LUCILIA LACERDA DE SOUZA,90000764930,APTO,DEFERIDO,AVANTE,26,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,60956.4,DEFERIDO,DEFERIDO,359.375,4312.5,0.0,0.0,1000.0,1000.0,1359.375,5312.5,4312.5
8453,8453,11775,2020,RO,VEREADOR,ANDRESSA CORDEIRO COSME,220001115306,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,22,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,24500.05,DEFERIDO,DEFERIDO,1424.66,1424.66,0.0,0.0,281.224,1406.12,1705.884,2830.78,1424.66
8455,8455,11778,2020,MG,VEREADOR,PAULA ROBERTA DE SOUZA ABREU,130001226780,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,25,FEMININO,LÊ E ESCREVE,BRANCA,12307.75,DEFERIDO,DEFERIDO,267.965714285714,1875.76,0.0,0.0,0.0,0.0,267.965714285714,1875.76,1875.76
8456,8456,11779,2020,SP,VEREADOR,THIAGO MARTINELLI SANTANA,250001042781,APTO,DEFERIDO,PARTIDO LIBERAL,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,48075.51,DEFERIDO,DEFERIDO,4000.0,4000.0,0.0,0.0,136.333333333333,818.0,4136.333333333329,4818.0,4000.0
8459,8459,11786,2020,GO,VEREADOR,ANDREIA CAVALCANTE PINTO,90000644323,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,23,FEMININO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,476.875,3815.0,0.0,0.0,0.0,0.0,476.875,3815.0,3815.0
8460,8460,11787,2020,SP,VEREADOR,FRANCISCO GILTON RODRIGUES COELHO,250001207474,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,18684.1,DEFERIDO,DEFERIDO,200.0,600.0,0.0,0.0,70.3933333333333,211.18,270.39333333333303,811.18,600.0
8461,8461,11788,2020,AP,VEREADOR,JAMILE DA SILVA BARROS,30000640872,APTO,DEFERIDO,PARTIDO LIBERAL,23,FEMININO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,3000.0,3000.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0
8462,8462,11789,2020,RJ,VEREADOR,MATEUS BROCHINI DE LIMA,190000685934,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,28,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,158.666666666667,476.0,756.676,3783.38,915.342666666667,4259.38,476.0
8463,8463,11791,2020,GO,VEREADOR,RODRIGO VICENTINI RAFAEL,90000842407,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,19417.48,DEFERIDO,DEFERIDO,285.584615384615,3712.6,0.0,0.0,0.0,0.0,285.584615384615,3712.6,3712.6
8466,8466,11794,2020,SP,VEREADOR,ROGERIO APARECIDO CASTILHO,250000997627,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,27,MASCULINO,SUPERIOR COMPLETO,BRANCA,97763.77,DEFERIDO,DEFERIDO,239.046,1195.23,0.0,0.0,628.333333333333,7540.0,867.379333333333,8735.23,1195.23
8468,8468,11796,2020,MA,VEREADOR,PEDRO ALEXANDRE LIMA DO NASCIMENTO,100000980885,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,28,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,149404.9,DEFERIDO,DEFERIDO,637.5,7012.5,0.0,0.0,1467.14285714286,20540.0,2104.64285714286,27552.5,7012.5
8470,8470,11799,2020,SP,VEREADOR,BRUNO LUIZ ANTUNES DE ASSUNÇÃO,250001016165,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,3675197.12,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,605.0,1210.0,10605.0,11210.0,10000.0
8472,8472,11802,2020,RJ,VEREADOR,BEATRIZ SILVA LOURENÇO SEABRA,190000871279,APTO,DEFERIDO,CIDADANIA,22,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,39691.85,DEFERIDO,DEFERIDO,74.0,148.0,0.0,0.0,79.8325,319.33,153.8325,467.33,148.0
8474,8474,11806,2020,AM,VEREADOR,ANDERSON GURGEL DE FRANÇA,40000833697,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,MASCULINO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,2087.5,4175.0,0.0,0.0,0.0,0.0,2087.5,4175.0,4175.0
8475,8475,11807,2020,BA,VEREADOR,ANDRESSA MORAIS DA SILVA,50000652804,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,SUPERIOR COMPLETO,NEGRA,22820.45,DEFERIDO,DEFERIDO,291.0,582.0,0.0,0.0,0.0,0.0,291.0,582.0,582.0
8477,8477,11810,2020,RS,VEREADOR,CAMILA MAIARA BRINGMANN,210000760946,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,114.0,114.0,25.8,25.8,108.41,325.23,248.21,465.03,139.8
8481,8481,11816,2020,AP,VEREADOR,DIANA PELAES DAMASCENO,30000882850,APTO,DEFERIDO,PODEMOS,23,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,21333.19,DEFERIDO,DEFERIDO,261.66666666666697,1570.0,0.0,0.0,0.0,0.0,261.66666666666697,1570.0,1570.0
8482,8482,11818,2020,PR,VEREADOR,FELIPE PEDROSO DA SILVA,160000874990,APTO,DEFERIDO,CIDADANIA,29,MASCULINO,SUPERIOR COMPLETO,NEGRA,26833.12,DEFERIDO,DEFERIDO,600.0,600.0,63.8733333333333,191.62,623.0,3115.0,1286.87333333333,3906.62,791.62
8483,8483,11819,2020,PE,VEREADOR,MATEUS HENRIQUE CLEMENTE DA SILVA,170001187542,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,25,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,43192.26,DEFERIDO,DEFERIDO,784.69,1569.38,0.0,0.0,0.0,0.0,784.69,1569.38,1569.38
8484,8484,11820,2020,AL,VEREADOR,JACQUES BARBOSA DE FREITAS,20000823378,APTO,DEFERIDO,PROGRESSISTAS,26,MASCULINO,SUPERIOR INCOMPLETO,NEGRA,19368.44,DEFERIDO,DEFERIDO,89.5,179.0,0.0,0.0,500.0,1000.0,589.5,1179.0,179.0
8486,8486,11822,2020,MG,VEREADOR,LÍGIA REGI BACELAR DE MOURA,130001095076,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
8487,8487,11823,2020,MG,VEREADOR,LARYSSA DE PAULA OLIVEIRA,130000667749,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24,FEMININO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,287.5,287.5,56.35,338.1,343.85,625.6,287.5
8489,8489,11829,2020,PA,VEREADOR,EDIANA RIVIA SILVA NASCIMENTO,140001137017,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,21,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,33995.83,DEFERIDO,DEFERIDO,482.19,1928.76,0.0,0.0,457.45,1372.35,939.64,3301.11,1928.76
8494,8494,11835,2020,BA,VEREADOR,JADSON DE JESUS SANTANA,50000759203,APTO,DEFERIDO,CIDADANIA,24,MASCULINO,ENSINO MÉDIO INCOMPLETO,NEGRA,451919.94,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0
8495,8495,11836,2020,RN,VEREADOR,ALBERTO VINICIUS MASCENA DA SILVA,200000932554,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,20,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,37710.69,DEFERIDO,DEFERIDO,566.666666666667,1700.0,0.0,0.0,0.0,0.0,566.666666666667,1700.0,1700.0
8496,8496,11839,2020,MA,PREFEITO,MANOEL NUNES BEZERRA FILHO,100000979417,APTO,DEFERIDO,REPUBLICANOS,24,MASCULINO,SUPERIOR COMPLETO,BRANCA,123077.42,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,1600.0,1600.0,11600.0,11600.0,10000.0
8498,8498,11841,2020,RJ,VEREADOR,NATHALIA REGINA GONÇALVES LUIZ,190001044673,APTO,DEFERIDO,SOLIDARIEDADE,27,FEMININO,SUPERIOR INCOMPLETO,NEGRA,1594577.38,DEFERIDO,DEFERIDO,20500.0,20500.0,0.0,0.0,500.0,500.0,21000.0,21000.0,20500.0
8499,8499,11842,2020,MG,VEREADOR,ALAN JOHN RODRIGUES,130000686214,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,26,MASCULINO,SUPERIOR INCOMPLETO,NEGRA,692183.02,DEFERIDO,DEFERIDO,3887.436666666671,23324.62,0.0,0.0,549.333333333333,1648.0,4436.77,24972.62,23324.62
8500,8500,11843,2020,PR,VEREADOR,MARIO ESTEVAM DOS SANTOS SOUZA,160000922268,APTO,DEFERIDO,REDE SUSTENTABILIDADE,22,MASCULINO,SUPERIOR COMPLETO,NEGRA,69176.25,DEFERIDO,DEFERIDO,1049.21428571429,7344.5,0.0,0.0,0.0,0.0,1049.21428571429,7344.5,7344.5
8501,8501,11844,2020,MG,VEREADOR,JADER PAULO FERREIRA DA SILVA,130001034135,APTO,DEFERIDO,PARTIDO VERDE,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,104.7,209.4,0.0,0.0,0.0,0.0,104.7,209.4,209.4
8504,8504,11848,2020,PI,VEREADOR,LEIDIANI CONCEIÇÃO DA PASCIÊNCIA,180001167895,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,27,FEMININO,ENSINO MÉDIO INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,117.0,117.0,0.0,0.0,0.0,0.0,117.0,117.0,117.0
8506,8506,11853,2020,GO,VEREADOR,MARCELO AUGUSTO ALVES DOS SANTOS,90001262944,APTO,DEFERIDO,DEMOCRATAS,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,15423.9,DEFERIDO,DEFERIDO,100.366666666667,602.2,0.0,0.0,99.5,398.0,199.866666666667,1000.2,602.2
8508,8508,11856,2020,PE,VEREADOR,ALMIR BARBOSA DA CUNHA SOBRINHO,170001028763,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,27,MASCULINO,SUPERIOR COMPLETO,BRANCA,105385.98,DEFERIDO,DEFERIDO,1157.073,11570.73,0.0,0.0,678.769166666667,8145.23,1835.84216666667,19715.96,11570.73
8509,8509,11857,2020,RS,VEREADOR,PÂMELA CHAIANE VARGAS DA SILVA,210000643549,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,91261.35,DEFERIDO,DEFERIDO,10640.0,10640.0,0.0,0.0,427.142857142857,2990.0,11067.1428571429,13630.0,10640.0
8512,8512,11861,2020,GO,VEREADOR,EDSON DE SOUZA PITA,90001090104,APTO,DEFERIDO,PROGRESSISTAS,22,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,57604.88,DEFERIDO,DEFERIDO,574.875,2299.5,0.0,0.0,290.0,580.0,864.875,2879.5,2299.5
8515,8515,11864,2020,PR,VEREADOR,NATHIELLY FLORIANO DOS SANTOS,160000657024,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,27,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,33.75,33.75,0.0,0.0,0.0,0.0,33.75,33.75,33.75
8518,8518,11867,2020,PE,VEREADOR,GEYDSON VENISON VIEIRA SILVA,170000831760,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,26,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,4375.0,4375.0,0.0,0.0,100.0,100.0,4475.0,4475.0,4375.0
8520,8520,11869,2020,TO,VEREADOR,CLÁUDIO AMADO DA SILVA,270001055332,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,28,MASCULINO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,3470.0,3470.0,0.0,0.0,772.5,1545.0,4242.5,5015.0,3470.0
8523,8523,11872,2020,PR,VEREADOR,LENILSON JHONATTAN ALEIXO DA SILVA,160000873734,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,205.8,411.6,0.0,0.0,120.0,120.0,325.8,531.6,411.6
8525,8525,11875,2020,RS,VEREADOR,LUAN DA SILVA PEREIRA,210001119671,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,52.2,52.2,401.666666666667,1205.0,453.866666666667,1257.2,52.2
8531,8531,11883,2020,GO,VEREADOR,CARMELINDA MARCELINO DE BRITO,90001136053,APTO,DEFERIDO,REPUBLICANOS,27,FEMININO,SUPERIOR COMPLETO,NEGRA,30190.74,DEFERIDO,DEFERIDO,1400.0,4200.0,0.0,0.0,0.0,0.0,1400.0,4200.0,4200.0
8533,8533,11885,2020,RS,VEREADOR,GIOVANNA SIMIONI ZANELLA,210000793672,APTO,DEFERIDO,PROGRESSISTAS,18,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,406.67,813.34,1406.67,1813.34,1000.0
8534,8534,11887,2020,PR,VEREADOR,CASSIO LUIZ COSCIA RICCI II,160001116325,APTO,DEFERIDO,CIDADANIA,18,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,530525.58,DEFERIDO,DEFERIDO,0.0,0.0,3000.0,3000.0,1000.0,3000.0,4000.0,6000.0,3000.0
8535,8535,11888,2020,RN,VEREADOR,LUIZ FERNANDO BRITO DA SILVA,200000746809,APTO,DEFERIDO,PARTIDO LIBERAL,22,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,35829.59,DEFERIDO,DEFERIDO,149.62,149.62,0.0,0.0,0.0,0.0,149.62,149.62,149.62
8536,8536,11889,2020,AP,VEREADOR,MARCELO DOS SANTOS PEREIRA,30001198312,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,24,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,282.2,1411.0,0.0,0.0,0.0,0.0,282.2,1411.0,1411.0
8539,8539,11892,2020,BA,VEREADOR,ÉRICA DOS SANTOS LIMA,50001204273,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,100.0,100.0,0.0,0.0,114.0,342.0,214.0,442.0,100.0
8544,8544,11899,2020,RS,VEREADOR,LAURA DE OLIVEIRA BUSATO BERBIGIER,210000876089,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,20,FEMININO,SUPERIOR INCOMPLETO,BRANCA,20638.89,DEFERIDO,DEFERIDO,578.0,2890.0,0.0,0.0,15.5,15.5,593.5,2905.5,2890.0
8545,8545,11900,2020,SP,VEREADOR,BRUNA GOMES SALVADOR MORAES,250001173499,APTO,DEFERIDO,CIDADANIA,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,91.6666666666667,275.0,0.0,0.0,102.5,205.0,194.166666666667,480.0,275.0
8548,8548,11906,2020,SE,VEREADOR,DANIEL SANTOS ALVES,260000823486,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,26,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,41407.73,DEFERIDO,DEFERIDO,2173.255,4346.51,0.0,0.0,0.0,0.0,2173.255,4346.51,4346.51
8549,8549,11907,2020,AL,VEREADOR,LETÍCIA CALIXTO PEREIRA DA SILVA,20001040638,APTO,DEFERIDO,PARTIDO TRABALHISTA CRISTÃO,18,FEMININO,SUPERIOR INCOMPLETO,BRANCA,251112.2,DEFERIDO,DEFERIDO,1047.5,6285.0,0.0,0.0,500.0,500.0,1547.5,6785.0,6285.0
8550,8550,11908,2020,PE,VEREADOR,ÁLLEF ELIAS DOS SANTOS,170001112574,APTO,DEFERIDO,PARTIDO TRABALHISTA CRISTÃO,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,27436.9,DEFERIDO,DEFERIDO,278.376666666667,835.13,0.0,0.0,0.0,0.0,278.376666666667,835.13,835.13
8551,8551,11909,2020,GO,VEREADOR,MARINA VILELA MARTINS,90000684127,APTO,DEFERIDO,REPUBLICANOS,29,FEMININO,SUPERIOR INCOMPLETO,AMARELA,12307.75,DEFERIDO,DEFERIDO,78.685,314.74,0.0,0.0,0.0,0.0,78.685,314.74,314.74
8552,8552,11910,2020,TO,VEREADOR,BRUNO GOMES SOARES,270001249883,APTO,DEFERIDO,PROGRESSISTAS,26,MASCULINO,SUPERIOR COMPLETO,NEGRA,24073.99,DEFERIDO,DEFERIDO,4000.0,4000.0,0.0,0.0,185.0,185.0,4185.0,4185.0,4000.0
8554,8554,11913,2020,GO,VEREADOR,SARAH OLIVEIRA VALENTIM GOMES,90000759032,APTO,DEFERIDO,PARTIDO VERDE,20,FEMININO,SUPERIOR INCOMPLETO,BRANCA,39350.45,DEFERIDO,DEFERIDO,180.0,180.0,0.0,0.0,115.0,230.0,295.0,410.0,180.0
8555,8555,11914,2020,MG,VEREADOR,NATHALIA DAMAS DOS SANTOS,130000635702,APTO,DEFERIDO,PATRIOTA,24,FEMININO,SUPERIOR COMPLETO,NEGRA,30294.29,DEFERIDO,DEFERIDO,149.0,298.0,0.0,0.0,340.0,340.0,489.0,638.0,298.0
8556,8556,11917,2020,PI,VEREADOR,THALIA SILVA LIMA,180000634482,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,FEMININO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,2489.55,2489.55,0.0,0.0,600.0,1200.0,3089.55,3689.55,2489.55
8557,8557,11919,2020,BA,VEREADOR,GEOVANA SANTOS CAVALCANTE,50001236630,APTO,DEFERIDO,SOLIDARIEDADE,21,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,28466.74,DEFERIDO,DEFERIDO,262.0,1048.0,0.0,0.0,350.0,700.0,612.0,1748.0,1048.0
8558,8558,11920,2020,PA,VEREADOR,JACKELINE SOUSA MIRANDA,140001102428,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,15743.9,DEFERIDO,DEFERIDO,85.0,85.0,0.0,0.0,0.0,0.0,85.0,85.0,85.0
8560,8560,11922,2020,PB,VEREADOR,JOÃO BATISTA EDUARDO DA SILVA,150000924304,APTO,DEFERIDO,PROGRESSISTAS,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,700.0,1400.0,0.0,0.0,128.57,128.57,828.57,1528.57,1400.0
8561,8561,11923,2020,MG,VEREADOR,MARIA LUÍZA TAVARES SANTOS,130001087413,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,21,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,596.875,2387.5,0.0,0.0,0.0,0.0,596.875,2387.5,2387.5
8562,8562,11924,2020,PI,VEREADOR,ISABEL MARIANA FERREIRA DA SILVA,180001030795,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,26,FEMININO,SUPERIOR COMPLETO,BRANCA,48698.46,DEFERIDO,DEFERIDO,845.5,3382.0,0.0,0.0,385.714285714286,2700.0,1231.21428571429,6082.0,3382.0
8563,8563,11925,2020,PE,VEREADOR,SILLAS JAKSON FIGUEREDO NETO,170000833640,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,500.0,500.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0
8564,8564,11927,2020,PB,VEREADOR,RENATA GERMANO DA SILVA,150000667015,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,27,FEMININO,SUPERIOR INCOMPLETO,BRANCA,21973.19,DEFERIDO,DEFERIDO,8500.0,17000.0,0.0,0.0,0.0,0.0,8500.0,17000.0,17000.0
8568,8568,11932,2020,MG,VEREADOR,ANGELICA CONCEIÇÃO DA COSTA,130001016241,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,40.0,40.0,86.25,345.0,126.25,385.0,40.0
8569,8569,11933,2020,SC,VEREADOR,JANETE CICHELERO,240001016130,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,24,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,2000.0,2000.0,0.0,0.0,480.0,1440.0,2480.0,3440.0,2000.0
8570,8570,11935,2020,AP,VEREADOR,TASSIO RAMON SANTOS DA SILVA,30000856157,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,28,MASCULINO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,4499.135,8998.27,0.0,0.0,0.0,0.0,4499.135,8998.27,8998.27
